Address,Zip,Zillow ID,Tax,Tax_Year,Home Type,Home Size,Bathrooms,Bedrooms,Last Sold Date,Last Sold Price,Zestimate Amount,Zestimate Date,Zestimate Value Change
1235 S Prairie Ave 2402 ,60605,87725616,445570.0,2017,Condominium,45302,2.0,2,04/08/2013,558000,614866,04/03/2019,12933
1235 S Prairie Ave 2403 ,60605,2086341333,451220.0,2017,Condominium,45302,2.0,2,02/14/2014,3200,552150,04/03/2019,-11712
1235 S Prairie Ave 2404 ,60605,87726096,46660.0,2017,Condominium,45302,2.0,2,06/10/2010,1350000,36196,04/03/2019,1146
1235 S Prairie Ave 2405 ,60605,87719891,451220.0,2017,Condominium,45302,,,05/23/2007,500000,783528,04/03/2019,141719
1235 S Prairie Ave 2406 ,60605,87699053,32610.0,2017,Condominium,45302,1.0,1,01/21/2014,315000,302485,04/03/2019,-3813
1235 S Prairie Ave 2407 ,60605,87699415,229060.0,2017,Condominium,45302,,,08/18/2006,301000,289995,04/03/2019,10387
1235 S Prairie Ave 2408 ,60605,87727121,219780.0,2017,Apartment,45302,1.0,1,08/14/2006,274500,,01/01/1970,
1235 S Prairie Ave 2409 ,60605,87710057,470790.0,2017,Condominium,45302,2.0,2,09/15/2017,554000,649023,04/03/2019,17579
1235 S Prairie Ave 2501 ,60605,87725559,551080.0,2017,Condominium,45302,,,04/05/2018,700000,854764,04/03/2019,139517
1235 S Prairie Ave 2502 ,60605,87721259,448460.0,2017,Condominium,45302,,,06/06/2014,590000,771326,04/03/2019,131484
1235 S Prairie Ave 2503 ,60605,87708163,27960.0,2017,Condominium,45302,2.0,2,01/03/2018,582000,33991,04/03/2019,-441
1235 S Prairie Ave 2504 ,60605,87714231,505420.0,2017,Condominium,45302,2.0,2,08/15/2006,585000,631514,04/03/2019,26234
1235 S Prairie Ave 2505 ,60605,87701781,454980.0,2017,MultiFamily2To4,45302,2.0,2,11/13/2008,465000,613454,04/03/2019,15044
1235 S Prairie Ave 2506 ,60605,87704146,32610.0,2017,Condominium,45302,1.0,1,09/19/2017,350000,34827,04/03/2019,141
1235 S Prairie Ave 2507 ,60605,87693939,232820.0,2017,Condominium,45302,,,09/08/2015,330000,292312,04/03/2019,10326
1235 S Prairie Ave 2508 ,60605,87695017,223530.0,2017,MultiFamily2To4,45302,1.0,1,08/08/2006,268000,327223,04/03/2019,8937
1235 S Prairie Ave 2509 ,60605,87701570,32610.0,2017,Condominium,45302,2.0,2,03/28/2007,524500,34827,04/03/2019,141
1235 S Prairie Ave 2601 ,60605,87701932,560490.0,2017,Condominium,45302,,,08/08/2006,640500,856965,04/03/2019,132570
1235 S Prairie Ave 2602 ,60605,87721301,46660.0,2017,Condominium,45302,2.0,2,08/23/2013,615000,36196,04/03/2019,1146
1235 S Prairie Ave 2603 ,60605,87693440,456860.0,2017,MultiFamily2To4,45302,2.0,2,09/07/2006,537000,673292,04/03/2019,32656
1235 S Prairie Ave 2604 ,60605,87689984,509060.0,2017,Condominium,45302,2.0,2,07/12/2016,640000,631516,04/03/2019,57219
1235 S Prairie Ave 2605 ,60605,87703489,32610.0,2017,Condominium,45302,2.0,2,11/07/2016,551500,33514,04/03/2019,-1096
1235 S Prairie Ave 2606 ,60605,87714019,32610.0,2017,Condominium,45302,1.0,1,05/06/2016,348000,34827,04/03/2019,141
1235 S Prairie Ave 2607 ,60605,87701538,236580.0,2017,Condominium,45302,1.0,1,09/18/2014,320000,326174,04/03/2019,8407
1235 S Prairie Ave 2608 ,60605,87721701,227300.0,2017,Condominium,45302,,,08/04/2006,302400,289559,04/03/2019,11126
1235 S Prairie Ave 2609 ,60605,87698662,482960.0,2017,Condominium,45302,,,08/08/2006,531000,848168,04/03/2019,177382
1235 S Prairie Ave 2701 ,60605,87715804,653820.0,2017,Condominium,45302,2.0,2,10/12/2011,545000,704681,04/03/2019,14005
1235 S Prairie Ave 2702 ,60605,87725128,453980.0,2017,Condominium,45302,2.0,2,07/12/2010,506500,589960,04/03/2019,9229
1235 S Prairie Ave 2703 ,60605,87712748,459630.0,2017,Condominium,45302,2.0,2,05/22/2014,607000,635237,04/03/2019,4106
1235 S Prairie Ave 2704 ,60605,87712714,32610.0,2017,Condominium,45302,2.0,2,06/27/2007,705000,34827,04/03/2019,141
1235 S Prairie Ave 2705 ,60605,87691136,27960.0,2017,Condominium,45302,,,07/09/2009,495000,33991,04/03/2019,-441
1235 S Prairie Ave 2706 ,60605,87714334,32610.0,2017,Condominium,45302,1.0,1,11/09/2018,350000,34827,04/03/2019,141
1235 S Prairie Ave 2707 ,60605,87691697,240350.0,2017,MultiFamily2To4,45302,1.0,1,06/05/2014,2000,324011,04/03/2019,7821
1235 S Prairie Ave 2708 ,60605,87718759,230940.0,2017,Condominium,45302,,,11/22/2006,309500,291231,04/03/2019,11191
1235 S Prairie Ave 2709 ,60605,87690353,32610.0,2017,Condominium,45302,2.0,2,05/26/2017,560000,34827,04/03/2019,141
1235 S Prairie Ave 2801 ,60605,87714752,663100.0,2017,Condominium,45302,2.0,2,12/04/2018,700000,693540,04/03/2019,11199
1235 S Prairie Ave 2802 ,60605,87692839,456860.0,2017,Condominium,45302,2.0,2,08/25/2006,495000,686869,04/03/2019,27116
1235 S Prairie Ave 2803 ,60605,87705720,32610.0,2017,Condominium,45302,2.0,2,08/07/2015,617000,34827,04/03/2019,141
1235 S Prairie Ave 2804 ,60605,87692976,517450.0,2017,Condominium,45302,2.0,2,05/10/2007,616500,645157,04/03/2019,52572
1235 S Prairie Ave 2805 ,60605,87700346,465270.0,2017,Condominium,45302,2.0,2,10/26/2017,557500,652918,04/03/2019,10473
1235 S Prairie Ave 2806 ,60605,87710975,32610.0,2017,Condominium,45302,1.0,1,03/11/2015,340000,34827,04/03/2019,141
1235 S Prairie Ave 2807 ,60605,87714381,32610.0,2017,Condominium,45302,,,12/19/2006,319500,34827,04/03/2019,141
1235 S Prairie Ave 2808 ,60605,87701817,32610.0,2017,Condominium,45302,1.0,1,05/03/2016,3330000,34827,04/03/2019,141
1235 S Prairie Ave 2809 ,60605,87689596,504410.0,2017,Condominium,45302,2.0,2,10/29/2018,560000,614284,04/03/2019,39847
1235 S Prairie Ave 2901 ,60605,87709241,672390.0,2017,Condominium,45302,2.0,2,04/28/2017,723000,695283,04/03/2019,7736
1235 S Prairie Ave 2902 ,60605,87694820,462390.0,2017,MultiFamily2To4,45302,2.0,2,09/22/2010,515000,629625,04/03/2019,12099
1235 S Prairie Ave 2903 ,60605,87697006,468040.0,2017,SingleFamily,45302,2.0,2,02/26/2015,3200,641241,04/03/2019,9100
1235 S Prairie Ave 2904 ,60605,2124840734,,,Unknown,,2.0,2,,,583548,04/03/2019,-26550
1235 S Prairie Ave 2905 ,60605,87706969,468040.0,2017,Condominium,45302,,,11/09/2006,568500,834534,04/03/2019,182927
1235 S Prairie Ave 2906 ,60605,87723317,243990.0,2017,Condominium,45302,1.0,1,08/13/2009,328000,299707,04/03/2019,10434
1235 S Prairie Ave 2907 ,60605,87723956,247740.0,2017,Condominium,45302,,,10/11/2006,352000,302577,04/03/2019,10605
1235 S Prairie Ave 2908 ,60605,87722388,238460.0,2017,Condominium,45302,1.0,1,03/07/2007,315000,323465,04/03/2019,6678
1235 S Prairie Ave 2909 ,60605,87697647,32610.0,2017,Condominium,45302,2.0,2,02/24/2016,546000,34827,04/03/2019,141
1235 S Prairie Ave 3001 ,60605,87689814,681800.0,2017,Condominium,45302,2.0,2,10/04/2006,747500,840461,04/03/2019,68353
1235 S Prairie Ave 3002 ,60605,87719419,465270.0,2017,Condominium,45302,2.0,2,03/02/2007,665000,832496,04/03/2019,181533
1235 S Prairie Ave 3003 ,60605,87726978,470790.0,2017,Condominium,45302,2.0,2,09/18/2006,590000,649709,04/03/2019,8970
1235 S Prairie Ave 3004 ,60605,87720088,526860.0,2017,Condominium,45302,2.0,2,09/06/2006,633000,663162,04/03/2019,53070
1235 S Prairie Ave 3005 ,60605,87711568,471790.0,2017,Condominium,45302,,,09/06/2006,540000,834881,04/03/2019,177992
1235 S Prairie Ave 3006 ,60605,87713390,247740.0,2017,Condominium,45302,1.0,1,01/10/2007,339500,323084,04/03/2019,6932
1235 S Prairie Ave 3007 ,60605,87692533,27960.0,2017,Condominium,45302,1.0,1,07/02/2010,314000,33991,04/03/2019,-441
1235 S Prairie Ave 3008 ,60605,87695782,212370.0,2017,Condominium,45302,1.0,1,08/22/2006,310000,321722,04/03/2019,6062
1235 S Prairie Ave 3009 ,60605,87724067,513820.0,2017,Condominium,45302,,,09/05/2006,552000,843335,04/03/2019,150802
1235 S Prairie Ave 3101 ,60605,87715694,691080.0,2017,Condominium,45302,,,09/21/2012,500000,1147651,04/03/2019,178803
1235 S Prairie Ave 3102 ,60605,87715338,468040.0,2017,Condominium,45302,2.0,2,08/29/2015,3300,643021,04/03/2019,5295
1235 S Prairie Ave 3103 ,60605,87715366,473680.0,2017,MultiFamily2To4,45302,2.0,2,05/28/2015,3200,693601,04/03/2019,35328
